Subject,Trial,Event Type,Code,Time,TTime,Uncertainty,Duration,Uncertainty,ReqTime,ReqDur,Stim Type,Pair Index
mindo162,1,Response,1,96153,95988,1,,,,,,
mindo162,1,Response,2,122051,121886,1,,,,,,
mindo162,1,Response,3,182917,182752,1,,,,,,
mindo162,2,Picture,Ready,228143,45162,1,14998,3,45000,15000,other,0
mindo162,2,Picture,set,243141,60160,2,14999,3,60000,15000,other,0
mindo162,2,Picture,go,258140,75159,1,14998,3,75000,15000,other,0
mindo162,3,Picture,1_first_room_1_090,302136,0,1,30164,2,0,30000,hit,8
mindo162,3,Response,1,334809,32673,1,,,,,,
mindo162,3,Picture,2_first_room_2_122,338299,36163,1,30164,2,36000,30000,hit,10
mindo162,3,Response,1,346648,44512,1,,,,,,
mindo162,3,Picture,1_rep_room_1_090,398293,96157,1,30164,2,96000,30000,hit,36
mindo162,3,Response,1,406854,104718,1,,,,,,
mindo162,3,Picture,2_rep_room_2_122,446289,144153,1,30163,3,144000,30000,hit,38
mindo162,3,Response,1,463891,161755,1,,,,,,
mindo162,3,Picture,3_first_room_1_166,494284,192148,1,30164,2,192000,30000,hit,16
mindo162,3,Response,1,510528,208392,1,,,,,,
mindo162,3,Picture,4_first_room_2_084,530281,228145,1,30163,3,228000,30000,hit,18
mindo162,3,Response,1,541996,239860,1,,,,,,
mindo162,3,Picture,3_lure_room_1_166,566277,264141,1,30164,2,264000,30000,hit,20
mindo162,3,Response,1,579344,277208,1,,,,,,
mindo162,3,Picture,4_rep_room_2_084,626271,324135,2,30164,3,324000,30000,hit,52
mindo162,3,Response,1,644730,342594,1,,,,,,
mindo162,3,Picture,5_first_object_1_382,662268,360132,1,30164,2,360000,30000,hit,24
mindo162,3,Response,1,681978,379842,1,,,,,,
mindo162,3,Picture,6_first_object_2_152,734261,432125,1,30164,2,432000,30000,hit,26
mindo162,3,Response,1,746484,444348,1,,,,,,
mindo162,3,Picture,5_lure_object_1_382,770258,468122,1,30163,2,468000,30000,hit,28
mindo162,3,Response,1,789722,487586,1,,,,,,
mindo162,3,Picture,6_lure_object_2_152,842251,540115,1,30163,3,540000,30000,hit,30
mindo162,3,Response,1,860378,558242,1,,,,,,
mindo162,3,Picture,7_first_room_1_024,878247,576111,1,30164,2,576000,30000,hit,32
mindo162,3,Response,1,896556,594420,1,,,,,,
mindo162,3,Picture,8_first_room_2_137,950240,648104,1,30164,2,648000,30000,hit,34
mindo162,3,Response,1,961392,659256,1,,,,,,
mindo162,3,Picture,7_lure_room_1_024,1010234,708098,2,30164,3,708000,30000,hit,40
mindo162,3,Response,2,1025328,723192,1,,,,,,
mindo162,3,Picture,8_rep_room_2_137,1046231,744095,1,30164,2,744000,30000,hit,54
mindo162,3,Response,2,1070285,768149,1,,,,,,
mindo162,3,Picture,9_first_object_1_115,1082227,780091,2,30164,3,780000,30000,hit,42
mindo162,3,Response,1,1093294,791158,1,,,,,,
mindo162,3,Picture,10_first_object_2_119,1130223,828087,1,30164,2,828000,30000,hit,44
mindo162,3,Response,1,1147961,845825,1,,,,,,
mindo162,3,Picture,9_lure_object_1_115,1202216,900080,1,30164,2,900000,30000,hit,46
mindo162,3,Response,1,1222437,920301,1,,,,,,
mindo162,3,Picture,10_lure_object_2_119,1238213,936077,1,30163,2,936000,30000,hit,48
mindo162,3,Response,1,1249455,947319,1,,,,,,
mindo162,3,Picture,11_first_room_1_141,1298207,996071,1,30163,3,996000,30000,hit,50
mindo162,3,Response,1,1314981,1012845,1,,,,,,
mindo162,3,Picture,12_first_room_2_118,1334203,1032067,1,30164,2,1032000,30000,hit,56
mindo162,3,Response,1,1346829,1044693,1,,,,,,
