Subject,Trial,Event Type,Code,Time,TTime,Uncertainty,Duration,Uncertainty,ReqTime,ReqDur,Stim Type,Pair Index
mindo162,1,Response,3,130219,130054,1,,,,,,
mindo162,2,Picture,Ready,175481,45162,2,14999,3,45000,15000,other,0
mindo162,2,Picture,set,190480,60161,1,14998,3,60000,15000,other,0
mindo162,2,Picture,go,205478,75159,2,14999,3,75000,15000,other,0
mindo162,3,Picture,1_first_object_1_012,298470,0,1,30163,3,0,30000,hit,6
mindo162,3,Response,1,310819,12349,1,,,,,,
mindo162,3,Picture,2_first_object_2_134,334633,36163,1,30164,2,36000,30000,hit,8
mindo162,3,Response,1,345176,46706,1,,,,,,
mindo162,3,Picture,1_rep_object_1_012,370629,72159,2,30164,3,72000,30000,hit,26
mindo162,3,Response,1,380504,82034,1,,,,,,
mindo162,3,Picture,2_lure_object_2_134,406626,108156,1,30164,2,108000,30000,hit,12
mindo162,3,Response,1,419652,121182,1,,,,,,
mindo162,3,Picture,3_first_room_1_103,442622,144152,2,30164,3,144000,30000,hit,14
mindo162,3,Response,1,454190,155720,1,,,,,,
mindo162,3,Picture,4_first_room_2_087,478619,180149,1,30164,2,180000,30000,hit,16
mindo162,3,Response,1,487548,189078,1,,,,,,
mindo162,3,Picture,3_lure_room_1_103,538613,240143,2,30164,3,240000,30000,hit,18
mindo162,3,Response,1,549935,251465,1,,,,,,
mindo162,3,Picture,4_lure_room_2_087,574610,276140,1,30161,6,276000,30000,hit,20
mindo162,3,Response,1,587912,289442,1,,,,,,
mindo162,3,Picture,5_first_object_1_133,634604,336134,1,30164,2,336000,30000,hit,22
mindo162,3,Response,1,644569,346099,1,,,,,,
mindo162,3,Picture,6_first_object_2_142,682600,384130,1,30163,3,384000,30000,hit,24
mindo162,3,Response,1,693036,394566,1,,,,,,
mindo162,3,Picture,5_rep_object_1_133,730595,432125,1,30164,2,432000,30000,hit,36
mindo162,3,Response,2,744533,446063,1,,,,,,
mindo162,3,Picture,6_rep_object_2_142,802588,504118,1,30164,2,504000,30000,hit,66
mindo162,3,Response,1,815889,517419,1,,,,,,
mindo162,3,Picture,7_first_object_1_376,862582,564112,2,30164,3,564000,30000,hit,30
mindo162,3,Response,1,874995,576525,1,,,,,,
mindo162,3,Picture,8_first_object_2_098,922577,624107,1,30163,3,624000,30000,hit,32
mindo162,3,Response,1,930962,632492,1,,,,,,
mindo162,3,Picture,7_lure_object_1_376,994570,696100,1,30164,2,696000,30000,hit,74
mindo162,3,Response,1,1010898,712428,1,,,,,,
mindo162,3,Picture,8_rep_object_2_098,1030566,732096,2,30164,3,732000,30000,hit,90
mindo162,3,Response,2,1046406,747936,1,,,,,,
mindo162,3,Picture,9_first_room_1_044,1114558,816088,2,30164,3,816000,30000,hit,38
mindo162,3,Response,1,1125381,826911,1,,,,,,
mindo162,3,Picture,10_first_room_2_271,1150555,852085,1,30164,2,852000,30000,hit,40
mindo162,3,Response,1,1161699,863229,1,,,,,,
mindo162,3,Picture,9_rep_room_1_044,1186552,888082,1,30163,3,888000,30000,hit,131
mindo162,3,Response,1,1214176,915706,1,,,,,,
mindo162,3,Picture,10_lure_room_2_271,1234547,936077,1,30164,2,936000,30000,hit,44
mindo162,3,Response,1,1254753,956283,1,,,,,,
mindo162,3,Picture,11_first_object_1_332,1270544,972074,1,30163,3,972000,30000,hit,46
mindo162,3,Response,1,1283092,984622,1,,,,,,
mindo162,3,Picture,12_first_object_2_026,1306540,1008070,1,30164,2,1008000,30000,hit,48
mindo162,3,Response,1,1316210,1017740,1,,,,,,
mindo162,3,Picture,11_rep_object_1_332,1342537,1044067,1,30163,3,1044000,30000,hit,145
mindo162,3,Response,1,1368107,1069637,1,,,,,,
mindo162,3,Picture,12_lure_object_2_026,1414530,1116060,1,30164,2,1116000,30000,hit,52
mindo162,3,Response,1,1429353,1130883,1,,,,,,
mindo162,3,Picture,13_first_object_1_141,1462525,1164055,1,30164,2,1164000,30000,hit,54
mindo162,3,Response,1,1480540,1182070,1,,,,,,
mindo162,3,Picture,14_first_object_2_182,1510520,1212050,2,30164,4,1212000,30000,hit,56
mindo162,3,Response,1,1522657,1224187,1,,,,,,
mindo162,3,Picture,13_lure_object_1_141,1546517,1248047,1,30164,2,1248000,30000,hit,58
mindo162,3,Response,1,1560796,1262326,1,,,,,,
mindo162,3,Picture,14_lure_object_2_182,1594513,1296043,1,30163,3,1296000,30000,hit,60
mindo162,3,Response,1,1618822,1320352,1,,,,,,
mindo162,3,Picture,15_first_room_1_050,1642508,1344038,1,30164,2,1344000,30000,hit,62
mindo162,3,Response,1,1656240,1357770,1,,,,,,
mindo162,3,Picture,16_first_room_2_117,1678505,1380035,1,30163,3,1380000,30000,hit,64
mindo162,3,Response,1,1690188,1391718,1,,,,,,
mindo162,3,Picture,15_rep_room_1_050,1714501,1416031,1,30164,2,1416000,30000,hit,68
mindo162,3,Response,2,1728366,1429896,1,,,,,,
mindo162,3,Picture,16_rep_room_2_117,1774495,1476025,2,30164,3,1476000,30000,hit,147
mindo162,3,Response,1,1783033,1484563,1,,,,,,
mindo162,3,Picture,17_first_room_1_145,1834470,1536000,188,30017,189,1536000,30000,hit,70
mindo162,3,Response,1,1844149,1545679,1,,,,,,
mindo162,3,Picture,18_first_room_2_077,1906470,1608000,181,30000,359,1608000,30000,hit,72
